Vehicle_Identification_Number (ID),Make (full_name_of_manufacturer),Model (full_model_name),Year_of_Manufacture (year),Mileage (kilometres_per_litre),Total_Weight (kilograms),Engine_Power(kilowatts),Tyre_Pressure_Front_Left (kilopascals),Tyre_Pressure_Front_Right (kilopascals),Tyre_Pressure_Rear_Left (kilopascals),Tyre_Pressure_Rear_Right (kilopascals),"Gear_Position While_Running (integer, 1-6)",Road_Incline (degrees),Fuel_Type - Ethanol_Rating (percent_ethanol_by_volume),Engine_Temperature (degrees_Celsius),Ambient_Temperature (degrees Celsius),Acceleration_Used (meters_per_second squared),Wind_Direction (degrees_from_North),Wind_Speed (meters_per_second),Transmission_Type (Manual transmission/Automatic transmission),Cubic_Capacity (cubic_centimetres),Number_of_Cylinders (count),Aerodynamic_Drag_Coefficient (dimensionless),Tire_Rolling_Resistance_Coefficient (dimensionless),Fuel_Consumption Measurement Distance (kilometres)
V1000,Hyundai,i20,2005,25.45,1494.0,100.5,217.7,217.2,229.0,230.5,4,1.41,85.0,93.3,22.2,1.13,114.0,2.86,Manual transmission,1698.0,4,0.224,0.005,100.0
V1029,Toyota,Corolla,2005,21.64,885.0,108.0,219.4,220.2,209.6,205.5,1,0.27,5.0,82.2,29.0,1.79,323.0,1.09,Manual transmission,1529.0,3,0.294,0.0058,100.0
V1061,Toyota,Corolla,2005,22.17,1355.0,102.7,221.9,224.0,197.7,198.0,6,2.1,0.0,97.2,15.9,1.05,168.0,3.07,Automatic transmission,1611.0,4,0.398,0.0088,100.0
V1066,Mahindra,XUV300,2005,22.26,1225.0,90.80206185567009,210.0,209.4,231.6,232.9,2,1.71,10.0,93.4,33.4,2.24,351.0,2.59,Manual transmission,1583.0,6,0.288,0.0111,100.0
V1000,Hyundai,i20,2005,25.45,1494.0,100.5,217.7,217.2,229.0,230.5,4,1.41,85.0,93.3,22.2,1.13,114.0,2.86,Manual transmission,1698.0,4,0.224,0.005,100.0
V1056,Honda,City,2006,25.56,963.0,95.5,221.7,222.7,213.5,218.4,5,1.91,5.0,86.8,21.3,1.06,20.0,1.54,Automatic transmission,1480.0,4,0.379,0.0133,100.0
V1030,Hyundai,i20,2006,25.65,1004.0,98.0,214.7,213.1,208.7,206.6,3,1.66,10.0,82.8,36.8,1.53,263.0,1.45,Manual transmission,1474.0,4,0.331,0.0087,100.0
V1008,Hyundai,i20,2006,18.55,1720.0,99.9,219.48163265306124,230.3,198.1,197.0,5,0.3,0.0,87.0,15.7,1.55,40.0,0.91,Manual transmission,1816.0,4,0.344,0.0062,100.0
V1041,Tata,Nexon,2006,23.46,1517.0,94.2,222.2,220.6,215.7,219.5,2,4.04,0.0,99.6,21.9,0.71,244.0,2.31,Manual transmission,1544.0,3,0.323,0.0123,100.0
V1006,Ford,Figo,2006,23.57,1089.0,102.0,216.1,213.2,213.6,214.1,2,0.02,0.0,88.6,16.5,1.16,63.0,1.99,Automatic transmission,1538.0,4,0.28,0.0085,100.0
V1042,Volkswagen,Vento,2007,23.61,1252.0,64.7,209.9,206.6,219.9,220.0,3,3.87,85.0,82.2,23.0,2.84,304.0,2.11,Manual transmission,823.0,4,0.245,0.0083,100.0
V1024,BMW,3 Series,2007,24.1,1267.0,117.7,226.9,226.1,212.7,212.7,1,0.29,20.0,85.4,25.1,1.9,248.0,4.68,Manual transmission,1707.0,3,0.368,0.0155,100.0
V1067,Mahindra,XUV300,2007,24.57,1490.0,108.4,214.6,217.2,212.4,216.6,2,2.07,85.0,90.86122448979593,26.2,0.98,160.0,1.77,Manual transmission,1657.0,4,0.304,0.0103,100.0
V1094,Toyota,Corolla,2007,26.55,1436.0,127.4,213.6,215.5,210.7,211.2,3,4.59,0.0,93.0,28.2,2.36,126.0,1.95,Manual transmission,2031.0,3,0.278,0.0059,100.0
V1005,Hyundai,i20,2007,23.56,1210.0,90.80206185567009,200.1,199.7,214.3,217.3,3,1.55,20.0,85.1,22.0,2.23,183.0,2.99,Automatic transmission,1828.0,4,0.294,0.0105,100.0
V1048,Tata,Nexon,2007,26.38,895.0,80.3,221.7,221.3,210.2,210.9,5,1.62,15.0,85.3,26.2,0.72,145.0,3.11,Manual transmission,1623.0,4,0.235,0.0121,100.0
V1084,Toyota,Corolla,2007,20.66,1461.0,104.1,221.7,218.9,208.7,206.9,6,2.21,15.0,97.4,31.5,1.99,169.0,0.86,Automatic transmission,1723.0,4,0.304,0.0126,100.0
V1098,Toyota,Corolla,2007,23.02,1259.0,112.6,212.2,213.5,208.5,209.3,1,2.66,0.0,87.4,29.3,1.2,321.0,5.09,Manual transmission,1978.0,6,0.3,0.0097,100.0
V1047,BMW,3 Series,2008,16.85,1826.0,91.7,237.0,237.4,208.8,207.7,2,1.2,5.0,89.8,31.6,1.59,109.0,2.73,Automatic transmission,1742.0,3,0.302,0.0088,100.0
V1065,Volkswagen,Vento,2008,20.71,1422.0,90.80206185567009,227.6,229.2,215.1,213.2,2,0.14,0.0,90.0,18.0,2.7,97.0,3.82,Automatic transmission,744.0,4,0.309,0.0091,100.0
V1019,Maruti,Swift,2008,24.26,1476.0,41.6,213.8,213.4,204.1,202.9,5,2.55,0.0,92.1,20.8,2.22,328.0,2.96,Automatic transmission,719.0,6,0.361,0.0109,100.0
V1023,Maruti,Swift,2008,23.57,877.0,81.0,217.9,218.5,227.7,229.4,5,0.48,5.0,89.9,19.0,1.49,122.0,2.07,Manual transmission,1592.0,4,0.336,0.0065,100.0
V1099,Ford,Figo,2008,18.62,1621.0,98.2,232.6,231.5,240.7,239.6,3,0.55,85.0,99.3,37.0,3.15,177.0,4.31,Automatic transmission,1873.0,6,0.371,0.0108,100.0
V1097,Ford,Figo,2008,26.43,1414.0,55.2,226.7,226.4,195.3,194.9,3,2.55,15.0,86.5,28.5,2.84,159.0,3.09,Automatic transmission,795.0,6,0.26,0.0103,100.0
V1077,Maruti,Swift,2008,22.18,1975.0,107.3,216.8,211.8,237.5,234.7,4,4.94,0.0,96.1,39.6,2.61,90.0,3.35,Automatic transmission,1903.0,4,0.35,0.0116,100.0
V1017,Maruti,Swift,2008,25.41,1087.0,91.0,227.7,225.8,209.3,202.8,1,3.07,20.0,88.5,17.5,2.81,81.0,0.35,Automatic transmission,1306.0,4,0.298,0.0094,100.0
V1057,Toyota,Corolla,2008,22.04,1441.0,67.9,226.3,226.7,191.8,194.9,2,5.39,5.0,86.3,22.7,1.73,208.0,3.0,Manual transmission,1271.0,4,0.353,0.015,100.0
V1035,Kia,Seltos,2009,24.79,1314.0,30.4,211.0,212.3,190.1,190.0,4,3.63,5.0,86.1,25.3,0.81,142.0,1.92,Automatic transmission,778.0,4,0.37,0.0073,100.0
V1055,Hyundai,i20,2009,22.49,1143.0,140.7,217.2,214.5,199.0,197.0,3,2.3,15.0,89.8,26.4,2.74,189.0,1.0,Manual transmission,2081.0,6,0.369,0.0084,100.0
V1083,Hyundai,i20,2009,25.43,1069.0,60.9,204.4,205.1,220.0,216.0,4,1.12,85.0,97.4,17.7,2.84,196.0,3.13,Manual transmission,1010.0,4,0.285,0.0088,100.0
V1025,Honda,City,2009,12.5,1355.0,80.3,211.9,210.2,202.8,198.6,2,1.58,20.0,85.4,25.9,1.77,84.0,5.31,Automatic transmission,1193.0,4,0.368,0.0073,100.0
V1051,Volkswagen,Vento,2009,40.0,1831.0,72.7,238.1,239.5,203.3,204.6,5,2.92,85.0,93.7,15.6,0.92,309.0,2.13,Manual transmission,1218.0,4,0.316,0.0109,100.0
V1095,BMW,3 Series,2009,25.29,969.0,63.3,217.2,217.8,219.8,221.5,4,1.75,20.0,89.0,26.7,1.3,242.0,4.91,Manual transmission,713.0,4,0.345,0.0112,100.0
V1022,Tata,Nexon,2010,21.99,1322.0,80.7,229.8,229.5,200.1,199.5,2,1.24,15.0,86.6,20.1,1.69,0.0,2.87,Automatic transmission,1495.0,6,0.295,0.0076,100.0
V1080,Kia,Seltos,2010,24.31,1336.0,88.7,220.5,220.6,201.6,200.3,6,4.21,85.0,100.5,17.5,0.95,132.0,1.42,Manual transmission,1550.0,4,0.365,0.0081,100.0
V1091,Kia,Seltos,2010,23.74,1020.0,85.9,211.2,210.9,230.5,227.8,5,4.84,5.0,98.8,23.7,0.96,194.0,4.06,Automatic transmission,1436.0,3,0.29,0.0145,100.0
V1037,Toyota,Corolla,2010,24.94,1170.0,75.2,215.8,216.4,234.9,236.6,6,0.98,15.0,97.2,22.6,0.13,246.0,0.99,Manual transmission,1335.0,4,0.226,0.0079,100.0
V1054,Ford,Figo,2010,22.18,1734.0,81.1,230.3,227.3,213.2,215.0,2,0.25,0.0,96.4,21.9,2.63,218.0,5.95,Manual transmission,1425.0,4,0.302,0.0077,100.0
V1058,Honda,City,2010,23.71,886.0,77.8,219.7,223.3,203.8,204.2,3,0.05,15.0,97.1,40.2,1.08,91.0,1.77,Automatic transmission,1429.0,4,0.372,0.011,100.0
V1038,Maruti,Swift,2010,22.59,1398.0,107.2,228.3,223.9,212.8,214.3,3,4.44,15.0,96.9,27.0,1.17,199.0,3.45,Automatic transmission,1507.0,4,0.434,0.0095,100.0
V1085,Maruti,Swift,2011,23.27,1417.0,116.6,216.9,217.2,208.2,209.6,6,2.87,20.0,85.3,17.0,0.03,299.0,3.26,Manual transmission,1556.0,4,0.265,0.005,100.0
V1076,BMW,3 Series,2011,24.01,1254.0,96.6,218.3,218.3,196.8,193.9,6,4.78,5.0,84.9,19.1,0.22,204.0,1.54,Manual transmission,1380.0,4,0.254,0.0139,100.0
V1052,Tata,Nexon,2011,24.1,1414.0,80.9,225.6,227.8,220.0,220.9,2,0.21,0.0,80.0,27.6,1.67,250.0,2.91,Automatic transmission,1571.0,4,0.256,0.0058,100.0
V1040,Ford,Figo,2011,24.72,1560.0,98.9,224.1,227.9,200.7,198.2,2,5.34,85.0,99.0,28.9,1.46,277.0,2.92,Manual transmission,1802.0,3,0.264,0.0163,100.0
V1010,Tata,Nexon,2011,40.0,1095.0,90.80206185567009,222.9,221.5,232.4,233.3,1,3.57,20.0,93.9,19.2,2.13,349.0,4.24,Manual transmission,1600.0,4,0.279,0.0119,100.0
V1002,Hyundai,i20,2011,40.0,1295.0,94.1,228.2,225.8,212.5,208.6,2,3.98,20.0,91.2,29.4,1.64,308.0,2.33,Manual transmission,1259.0,4,0.305,0.005,100.0
V1002,Hyundai,i20,2011,40.0,1295.0,94.1,228.2,225.8,212.5,208.6,2,3.98,20.0,91.2,29.4,1.64,308.0,2.33,Manual transmission,1259.0,4,0.305,0.005,100.0
V1071,Ford,Figo,2011,21.66,1648.0,50.2,223.5,223.4,215.7,215.9,2,3.85,15.0,96.0,22.0,0.25,310.0,1.86,Automatic transmission,1052.0,4,0.395,0.0116,100.0
V1031,Kia,Seltos,2011,21.57,1527.0,90.8,214.2,213.6,182.4,179.4,4,4.1,5.0,99.9,23.5,1.96,292.0,2.97,Automatic transmission,1411.0,6,0.474,0.0124,100.0
V1028,Toyota,Corolla,2012,24.64,1225.0,157.0,226.5,229.2,198.4,199.8,5,3.18,20.0,79.4,17.9,0.13,10.0,2.1,Manual transmission,2324.0,3,0.356,0.0135,100.0
V1060,Kia,Seltos,2012,25.77,1308.0,94.9,221.9,222.0,193.7,195.2,6,1.94,5.0,103.0,23.2,1.68,179.0,2.87,Automatic transmission,1647.0,4,0.399,0.0087,100.0
V1012,Volkswagen,Vento,2012,25.37,978.0,96.4,217.8,219.2,215.7,215.6,3,2.54,10.0,80.9,22.3,2.19,117.0,5.0,Manual transmission,1750.0,4,0.258,0.0095,100.0
V1078,Volkswagen,Vento,2012,22.8,1331.0,111.0,212.5,211.9,189.7,189.5,6,2.97,85.0,83.4,26.1,2.61,68.0,3.88,Automatic transmission,1803.0,3,0.241,0.006,100.0
V1009,Mahindra,XUV300,2013,24.67,1203.0,119.3,207.7,208.2,225.7,222.5,1,0.55,10.0,91.6,29.7,0.51,186.0,0.52,Manual transmission,2119.0,4,0.346,0.0099,100.0
V1059,Toyota,Corolla,2013,24.12,1192.0,140.1,231.1,232.7,216.1,218.2,1,3.51,0.0,98.3,28.9,1.37,55.0,2.72,Automatic transmission,2238.0,4,0.38,0.0065,100.0
V1063,Hyundai,i20,2013,24.7,1092.0,49.0,222.4,221.9,214.2,211.7,2,4.33,0.0,89.5,31.7,1.77,135.0,3.19,Manual transmission,1071.0,4,0.348,0.0103,100.0
V1013,Mahindra,XUV300,2013,23.16,1346.0,90.4,219.48163265306124,209.3,216.7,218.9,4,3.16,100.0,81.7,19.4,1.91,290.0,3.27,Automatic transmission,1654.0,3,0.346,0.02,100.0
V1007,Volkswagen,Vento,2014,23.53,1352.0,118.5,219.3,215.5,209.7,209.8,5,7.39,85.0,88.8,26.8,1.47,295.0,0.75,manual,1661.0,6,0.377,0.0113,100.0
V1073,Hyundai,i20,2014,24.3,1550.0,88.8,223.5,225.5,175.2,179.4,1,0.42,0.0,90.86122448979593,18.8,1.99,324.0,0.92,Automatic transmission,1467.0,6,0.289,0.0147,100.0
V1082,Hyundai,i20,2014,28.97,1273.0,62.9,212.0,215.3,230.1,229.0,5,1.71,20.0,99.8,22.7,1.34,171.0,1.63,Automatic transmission,1544.0,4,0.269,0.0071,100.0
V1074,Toyota,Corolla,2014,23.47,1561.0,87.6,221.5,222.2,238.8,238.7,4,0.6,0.0,96.3,31.6,2.45,75.0,3.46,Manual transmission,1423.0,4,0.263,0.0139,100.0
V1049,Volkswagen,Vento,2014,25.34,1594.0,103.9,230.1,226.4,194.6,193.4,1,0.08,85.0,93.1,20.6,1.65,270.0,1.37,Manual transmission,1689.0,6,0.289,0.005,100.0
V1050,Volkswagen,Vento,2014,27.17,1007.0,54.3,210.5,215.8,215.9,216.3,4,2.58,0.0,94.2,21.5,1.6,135.0,6.34,Manual transmission,1544.0,3,0.315,0.0124,100.0
V1034,Mahindra,XUV300,2015,21.76,1228.0,96.0,214.2,215.7,216.0,214.0,4,0.3,20.0,94.5,15.0,1.93,98.0,1.51,Manual transmission,1608.0,3,0.349,0.0067,100.0
V1092,Kia,Seltos,2015,19.29,1947.0,101.4,227.4,228.0,225.6,228.7,6,0.1,10.0,85.5,27.8,0.96,142.0,5.52,Automatic transmission,1771.0,4,0.327,0.0079,100.0
V1045,Toyota,Corolla,2015,23.59,1825.0,60.2,232.7,234.1,196.5,195.5,5,1.47,85.0,82.7,29.3,1.31,202.0,1.94,Manual transmission,1188.0,4,0.356,0.0103,100.0
V1016,Mahindra,XUV300,2016,24.95,1451.0,69.8,208.0,207.3,204.3,203.0,4,5.3,0.0,92.4,17.4,2.23,260.0,5.68,Automatic transmission,1182.0,4,0.372,0.005,100.0
V1062,Ford,Figo,2016,21.05,865.0,95.4,219.48163265306124,223.4,197.7,199.1,6,0.73,0.0,86.6,17.3,2.2,347.0,3.48,Automatic transmission,1277.0,6,0.315,0.0145,100.0
V1027,Ford,Figo,2017,23.53,1257.0,94.3,225.1,226.5,196.5,193.4,6,3.83,0.0,92.0,20.5,2.74,264.0,2.67,Automatic transmission,1749.0,4,0.379,0.0092,100.0
V1014,Kia,Seltos,2017,23.3,1586.0,115.0,216.8,218.3,200.7,200.2,4,1.46,5.0,90.5,38.9,0.01,135.0,3.53,Manual transmission,1728.0,4,0.239,0.0076,100.0
V1018,Hyundai,i20,2017,21.33,1648.0,110.2,210.2,211.1,212.4,211.2,2,0.21,20.0,87.7,25.7,2.03,239.0,4.88,Automatic transmission,2076.0,4,0.258,0.0154,100.0
V1043,Toyota,Corolla,2017,23.17,1283.0,56.4,219.48163265306124,230.7,223.5,223.0,2,3.32,20.0,105.4,25.4,1.51,126.0,2.46,Manual transmission,1390.0,3,0.33,0.0086,100.0
V1004,Honda,City,2018,22.6,968.0,76.6,228.1,230.8,209.1,211.1,5,1.08,10.0,86.1,27.2,2.73,79.0,2.45,Manual transmission,1308.0,4,0.398,0.005,100.0
V1020,Ford,Figo,2018,24.16,1524.0,90.80206185567009,219.8,220.0,225.3,224.1,6,1.64,20.0,88.8,23.7,2.38,1.0,3.74,Automatic transmission,1168.0,4,0.361,0.0129,100.0
V1026,BMW,3 Series,2018,29.13,903.0,73.3,231.8,230.9,189.4,192.1,2,0.34,85.0,97.4,15.4,1.02,353.0,2.51,Manual transmission,1140.0,4,0.322,0.0076,100.0
V1039,Ford,Figo,2018,40.0,1045.0,91.3,211.4,211.5,204.3,205.3,1,1.0,5.0,96.2,21.9,1.28,249.0,1.03,Manual transmission,1599.0,6,0.298,0.0101,100.0
V1044,Hyundai,i20,2018,22.67,1290.0,90.80206185567009,212.9,213.1,206.9,209.9,2,7.95,10.0,96.5,32.5,0.16,267.0,1.99,Automatic transmission,1270.0,6,0.301,0.005,100.0
V1032,Kia,Seltos,2018,25.82,818.0,77.3,212.4,209.6,202.2,200.0,3,5.06,10.0,95.3,25.0,2.68,49.0,2.62,Automatic transmission,1448.0,4,0.277,0.0136,100.0
V1033,Mahindra,XUV300,2018,40.0,1242.0,92.5,206.2,208.1,232.9,230.1,1,1.69,0.0,86.1,22.1,1.03,27.0,1.2,Manual transmission,1715.0,4,0.322,0.0065,100.0
V1053,Hyundai,i20,2018,22.14,1504.0,114.9,220.3,222.2,203.8,204.0,3,1.39,5.0,87.4,23.1,1.68,1.0,1.78,Automatic transmission,1921.0,4,0.383,0.0063,100.0
V1064,BMW,3 Series,2018,24.29,1358.0,118.7,219.1,222.0,201.9,205.5,1,0.12,20.0,81.4,25.8,0.96,160.0,3.76,Automatic transmission,1544.0,4,0.287,0.0077,100.0
V1072,Kia,Seltos,2019,28.14,1203.0,78.1,219.48163265306124,224.7,222.4,222.9,2,0.78,85.0,90.86122448979593,24.6,1.47,242.0,3.59,Manual transmission,1360.0,4,0.323,0.0112,100.0
V1096,Toyota,Corolla,2019,20.28,1354.0,117.6,224.0,222.7,203.7,204.9,5,3.71,5.0,90.1,26.9,2.86,85.0,2.86,Manual transmission,1765.0,4,0.45,0.0107,100.0
V1089,Honda,City,2019,23.18,1209.0,75.8,221.7,222.0,210.0,210.9,2,3.57,15.0,95.7,16.1,0.54,273.0,3.9,Manual transmission,1365.0,4,0.252,0.0083,100.0
V1046,Ford,Figo,2019,26.14,975.0,92.9,225.9,225.3,213.9,211.4,3,2.77,20.0,88.9,21.9,2.34,4.0,1.44,Automatic transmission,1355.0,4,0.25,0.005,100.0
V1036,Hyundai,i20,2019,25.26,1458.0,98.7,195.3,193.7,216.9,216.5,3,1.11,0.0,86.4,25.5,1.38,25.0,4.25,Manual transmission,1834.0,6,0.333,0.01,100.0
V1093,Hyundai,i20,2020,26.9,1008.0,80.9,213.4,211.3,216.4,218.8,1,2.16,10.0,96.0,20.5,0.36,276.0,4.75,Manual transmission,1573.0,3,0.304,0.0082,100.0
V1075,Toyota,Corolla,2020,24.78,1073.0,65.5,223.3,223.9,215.1,218.3,3,1.36,85.0,88.5,30.8,2.45,233.0,0.66,Automatic transmission,1041.0,6,0.35,0.0111,100.0
V1086,Mahindra,XUV300,2020,24.92,1298.0,124.2,220.8,220.6,221.0,220.4,5,0.8,15.0,91.9,21.0,2.29,152.0,2.24,Automatic transmission,1655.0,3,0.282,0.0106,100.0
V1088,Mahindra,XUV300,2020,24.46,1278.0,96.6,220.6,216.6,198.7,198.4,6,3.63,85.0,93.6,34.2,2.48,172.0,2.18,Automatic transmission,1522.0,3,0.395,0.0094,100.0
V1068,Ford,Figo,2021,27.48,1292.0,96.8,237.3,238.2,210.5,210.7,1,1.84,15.0,83.9,23.5,0.17,209.0,3.1,Automatic transmission,1709.0,4,0.352,0.0076,100.0
V1081,Ford,Figo,2021,20.8,1383.0,113.2,241.5,239.1,213.7,215.0,1,1.24,15.0,88.9,24.2,1.54,122.0,2.28,Automatic transmission,1999.0,4,0.368,0.0156,100.0
V1021,Honda,City,2021,24.44,1206.0,97.3,218.7,218.9,217.1,215.5,1,6.28,5.0,84.0,17.7,2.43,152.0,3.69,Manual transmission,1544.0,3,0.351,0.0109,100.0
V1011,Honda,City,2022,20.45,1200.0,108.1,212.5,210.7,200.2,200.0,4,1.02,10.0,91.7,30.0,1.51,236.0,4.68,Automatic transmission,1665.0,4,0.307,0.0172,100.0
V1003,Toyota,Corolla,2022,23.2,1617.0,68.1,202.4,203.0,205.4,204.0,4,1.84,0.0,96.2,30.6,0.83,229.0,2.04,Automatic transmission,1212.0,4,0.337,0.0119,100.0
V1001,Hyundai,i20,2022,21.51,1394.0,66.4,205.9,208.8,207.3,207.4,2,4.27,0.0,90.86122448979593,25.7,0.58,216.0,3.06,Manual transmission,1275.0,3,0.29,0.0081,100.0
V1015,Volkswagen,Vento,2022,22.75,976.0,116.7,226.8,225.3,212.6,212.7,1,1.95,20.0,102.9,28.8,0.12,299.0,2.78,Auto,1935.0,4,0.287,0.0116,100.0
V1069,Ford,Figo,2022,24.85,860.0,115.5,230.5,233.9,204.5,206.7,4,0.12,85.0,89.0,30.3,2.02,215.0,0.14,Automatic transmission,2129.0,4,0.394,0.0131,100.0
V1079,Volkswagen,Vento,2022,24.33,1232.0,102.7,210.3,210.5,194.0,192.8,5,0.96,20.0,80.4,27.6,1.48,226.0,3.33,Automatic transmission,1876.0,6,0.331,0.0131,100.0
V1087,Volkswagen,Vento,2022,26.06,1297.0,68.7,224.7,224.6,219.8,222.6,4,1.67,10.0,90.1,17.1,0.65,249.0,2.04,Manual transmission,1140.0,6,0.29,0.0084,100.0
V1001,Hyundai,i20,2022,21.51,1394.0,66.4,205.9,208.8,207.3,207.4,2,4.27,0.0,90.86122448979593,25.7,0.58,216.0,3.06,Manual transmission,1275.0,3,0.29,0.0081,100.0
V1070,Honda,City,2023,23.67,1448.0,78.9,214.5,213.2,209.7,212.0,6,1.63,10.0,87.8,29.6,0.78,280.0,4.22,Manual transmission,1249.0,4,0.233,0.0079,100.0
V1090,BMW,3 Series,2023,24.88,1462.0,43.8,214.2,209.0,203.4,204.2,3,4.44,5.0,91.1,24.9,1.96,329.0,2.68,Automatic transmission,1031.0,3,0.271,0.0126,100.0
V9999,Unknown,Unknown,2012,40.0,1306.5825242718447,90.80206185567009,219.48163265306124,219.64271844660195,210.62524271844663,210.61650485436894,2,2.329320388349515,10.0,90.86122448979593,24.6621359223301,1.5633980582524272,187.5242718446602,2.775922330097087,Manual transmission,1544.0,4,0.31919417475728157,0.009686407766990292,100.0
